english	icelandic
sample.id	synis.id
trip.number	leidangur
year	ar
month	man
day	dags
net.cast.time	kl.kastad
net.pull.time	kl.hift
ship	skip
station	stod
net.cast.lat	kastad.n.breidd
net.cast.long	kastad.v.lengd
net.pull.lat	hift.n.breidd
net.pull.long	hift.v.lengd
depth.at.cast	dypi.kastad
depth.at.pull	dypi.hift
mesh.size	moskvastaerd
gridcell	reitur
small.gridcell	smareitur	
total.catch	heildarafli
depth	dypi
wind.speed	vindhradi
wind.direction	vindatt
weather	vedur
sea	sjor
bottom.temp	botnhiti
visible.depth	sjondypi
surface.temp	yfirbordshiti
air.temp	lofthiti
barometer	loftvog
ice	hafis
current.direction	straumstefna
current.speed	straumhradi
trawl.depth.at.cast	togdypi.kastad
trawl.depth.at.pull	togdypi.hift
trawl.length	toglengd
landing.port	londunarhofn
sweep.length	grandaralengd
land.region	skiki
coast.gridcell	fjardarreitur
trawl.speed	toghradi
wire.out	vir.uti
vertical.opening	lodrett.opnun
trawl.direction	togstefna
horizontal.opening	larett.opnun
trawl.time	togtimi
trawl.depth.temp	togdypishiti
major.hours	eykt
trawl.number	tognumer
port.sample	landsyni
sampling.type	synaflokkur
notes	aths
coordinates	hnattstada
trawl.category	leidangrasynaflokkur
length	lengd
age	aldur
number	nr
maturity	kynthroski
ungutted.wt	oslaegt
gutted.wt	slaegt
liver	lifur
gonads	kynfaeri
count	fjoldi
sex	kyn
maturity	kynthroski
gear.type	veidarfaeri
species.code	tegund
number.counted	fj.talid
number.measured	fj.maelt
catch	afli
station.wt	vigt.synis
